State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
TX,Texas,11/1/2019,N,U,Y,111362,,N/A,,111362,,73715,,10471,,84186,,3303002,,4195900,,33.8191,-80.9066,"(33.8191, -80.9066)",3615321,,580579,
DC,District of Columbia,8/1/2019,Y,P,N,4098,Includes SBM data,2363,,6461,Includes Renewals and/or Redeterminations,4137,Includes Renewals and/or Redeterminations; Includes CHIP,,,4137,,95106,,255952,,41.5834,-72.7622,"(41.5834, -72.7622)",238684,,17268,
NE,Nebraska,5/1/2018,N,U,Y,5824,,N/A,,5824,,7362,,817,,8179,,166017,,249735,,35.6411,-79.8431,"(35.6411, -79.8431)",215856,,33879,
NV,Nevada,10/1/2017,Y,P,Y,19732,Includes Renewals and/or Redeterminations,N/A,,19732,Includes Renewals and/or Redeterminations,12006,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",51,,12057,,305447,,638384,,40.314,-74.5089,"(40.314, -74.5089)",597796,,40588,
MT,Montana,9/1/2018,Y,P,N,3181,,N/A,,3181,,3191,,278,,3469,,127813,,278065,,14.8058,145.5505,"(14.8058, 145.5505)",250650,,27415,
WY,Wyoming,3/1/2020,N,U,Y,1442,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1442,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,868,,38,,906,,37193,,56111,,44.0407,-72.7093,"(44.0407, -72.7093)",51698,,4413,
MS,Mississippi,12/1/2018,N,P,N,17962,,N/A,,17962,,11701,,963,,12664,,413288,,608626,,38.4623,-92.302,"(38.4623, -92.302)",533538,,75088,
NV,Nevada,10/1/2018,Y,P,N,20107,Includes Renewals and/or Redeterminations,N/A,,20107,Includes Renewals and/or Redeterminations,12486,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",62,,12548,,306932,,644810,,40.314,-74.5089,"(40.314, -74.5089)",603420,,41390,
TN,Tennessee,6/1/2020,N,P,N,26013,,N/A,,26013,,10846,,1481,,12327,,843434,,1489536,,41.6772,-71.5101,"(41.6772, -71.5101)",1365104,,124432,
GA,Georgia,9/1/2019,N,U,Y,42424,,N/A,,42424,,24959,,749,,25708,,1274437,,1851830,,27.8333,-81.717,"(27.8333, -81.717)",1640471,,211359,
AL,Alabama,7/1/2017,N,U,Y,17118,,N/A,,17118,,25313,,3352,,28665,,632055,,892956,,32.799,-86.8073,"(32.799, -86.8073)",735382,,157574,
TX,Texas,7/1/2017,N,P,N,124823,,N/A,,124823,,100272,,13886,,114158,,3486444,,4411626,,33.8191,-80.9066,"(33.8191, -80.9066)",3852372,,559254,
SC,South Carolina,4/1/2018,N,U,Y,21879,,N/A,,21879,,7033,Does Not Include All Medicaid Determinations Made At Application,156,Does Not Include All CHIP Determinations Made At Application,7189,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,651297,,1043534,,40.5773,-77.264,"(40.5773, -77.264)",956798,,86736,
MD,Maryland,10/1/2019,Y,U,Y,7693,,101523,Includes Renewals and/or Redeterminations,109216,Includes Renewals and/or Redeterminations,39494,Includes Renewals and/or Redeterminations,4081,Includes Renewals and/or Redeterminations,43575,Includes Renewals and/or Redeterminations,622786,,1329774,,42.2373,-71.5314,"(42.2373, -71.5314)",1183205,,146569,
CA,California,3/1/2019,Y,U,Y,154829,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,154829,,153728,Does Not Include All Medicaid Determinations Made At Application,13946,Does Not Include All CHIP Determinations Made At Application,167674,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4956900,,11874143,,33.7712,-111.3877,"(33.7712, -111.3877)",10560707,,1313436,
NH,New Hampshire,6/1/2018,Y,P,N,7724,,N/A,,7724,,4661,,472,,5133,,90471,,182839,,47.5362,-99.793,"(47.5362, -99.793)",168637,,14202,
IA,Iowa,10/1/2019,Y,U,Y,16100,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16100,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1263,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1263,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,339555,,679643,,21.1098,-157.5311,"(21.1098, -157.5311)",602280,,77363,
OK,Oklahoma,5/1/2018,N,P,N,43035,,N/A,,43035,,40177,,7933,,48110,,514535,,735895,,42.1497,-74.9384,"(42.1497, -74.9384)",616826,,119069,
SD,South Dakota,6/1/2017,N,P,Y,2544,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2544,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1669,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1669,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",81672,,113110,,18.2766,-66.335,"(18.2766, -66.335)",97454,,15656,
IN,Indiana,11/1/2018,Y,P,N,79038,,N/A,,79038,,34524,,3394,,37918,,788362,,1443601,,40.3363,-89.0022,"(40.3363, -89.0022)",1332228,,111373,
KS,Kansas,2/1/2020,N,U,Y,,,N/A,,,,,,,,,,263184,,378292,,39.8647,-86.2604,"(39.8647, -86.2604)",319127,,59165,
MT,Montana,4/1/2020,Y,U,Y,3856,,N/A,,3856,,4979,,504,,5483,,115301,,252152,,14.8058,145.5505,"(14.8058, 145.5505)",225977,,26175,
ID,Idaho,1/1/2020,Y,P,N,20449,,,,20449,,21398,,2314,,23712,,173233,,313122,,42.0046,-93.214,"(42.0046, -93.214)",285354,,27768,
WI,Wisconsin,6/1/2020,N,U,Y,18947,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,18947,Does Not Include All Applications for Limited-Benefit Programs,16148,"Count is of Households, Not Individuals",1151,,17299,,528763,,1119126,,37.768,-78.2057,"(37.768, -78.2057)",1050926,,68200,
GA,Georgia,5/1/2020,N,P,N,39659,,N/A,,39659,,20941,,628,,21569,,1314495,,1889278,,27.8333,-81.717,"(27.8333, -81.717)",1681625,,207653,
WV,West Virginia,6/1/2020,Y,U,Y,11020,,N/A,,11020,,6378,,279,,6657,,216083,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),521290,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",487520,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33770,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
CT,Connecticut,1/1/2019,Y,P,N,5294,Includes Duplicates,13976,Includes Duplicates; Includes Renewals and/or Redeterminations,19270,Includes Duplicates,16806,Includes Renewals and/or Redeterminations,414,Includes Renewals and/or Redeterminations,17220,Includes Renewals and/or Redeterminations,337116,,861977,,39.0646,-105.3272,"(39.0646, -105.3272)",841860,,20117,
UT,Utah,11/1/2017,N,U,Y,27471,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,27471,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",41408,Includes CHIP,,,41408,,211637,,303346,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",255908,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,47438,
DE,Delaware,6/1/2017,Y,P,N,,,N/A,,,,,,,,,,105633,,227659,,38.8964,-77.0262,"(38.8964, -77.0262)",216302,,11357,
NM,New Mexico,8/1/2019,Y,P,N,13246,,N/A,,13246,,20929,,2060,,22989,,329326,Includes Limited-Benefit Enrollees,732432,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",695210,Includes Limited-Benefit Enrollees,37222,
IA,Iowa,6/1/2020,Y,P,N,9992,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,9992,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,9656,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,1544,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,11200,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,344777,,699741,,21.1098,-157.5311,"(21.1098, -157.5311)",618776,,80965,
GA,Georgia,1/1/2018,N,U,Y,54480,,N/A,,54480,,36144,,1352,,37496,,1268025,,1818601,,27.8333,-81.717,"(27.8333, -81.717)",1622947,,195654,
PA,Pennsylvania,6/1/2019,Y,U,Y,88353,Includes Renewals and/or Redeterminations,N/A,,88353,Includes Renewals and/or Redeterminations,79715,Includes Renewals and/or Redeterminations,9258,,88973,Includes Renewals and/or Redeterminations,1393598,,2955307,,35.5376,-96.9247,"(35.5376, -96.9247)",2771876,,183431,
AL,Alabama,3/1/2020,N,P,N,12456,,N/A,,12456,,13302,,1530,,14832,,659913,,928013,,32.799,-86.8073,"(32.799, -86.8073)",757451,,170562,
MO,Missouri,9/1/2013,N,U,Y,,,,,,,,,,,,,,,846084,,45.7326,-93.9196,"(45.7326, -93.9196)",,,,
MT,Montana,9/1/2019,Y,P,N,4084,,N/A,,4084,,4486,,411,,4897,,121677,,264220,,14.8058,145.5505,"(14.8058, 145.5505)",236147,,28073,
IN,Indiana,4/1/2018,Y,P,N,85051,,N/A,,85051,,40020,,3679,,43699,,794728,,1456418,,40.3363,-89.0022,"(40.3363, -89.0022)",1348711,,107707,
CO,Colorado,1/1/2018,Y,P,Y,29728,,4366,,34094,,23237,,411,,23648,,607720,,1369454,,36.17,-119.7462,"(36.17, -119.7462)",1296045,,73409,
FL,Florida,11/1/2017,N,P,N,248287,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,248287,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,137235,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23557,,160792,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2548960,,3810911,,39.3498,-75.5148,"(39.3498, -75.5148)",3610069,,200842,
NH,New Hampshire,10/1/2019,Y,P,N,8509,,N/A,,8509,,5267,,602,,5869,,88061,,176384,,47.5362,-99.793,"(47.5362, -99.793)",161499,,14885,
NJ,New Jersey,5/1/2019,Y,P,N,37000,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,37000,Does Not Include All Non-MAGI Applications,17816,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,6408,,24224,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application,810680,,1695748,,41.1289,-98.2883,"(41.1289, -98.2883)",1476953,,218795,
MS,Mississippi,8/1/2017,N,P,N,20645,,N/A,,20645,,14846,,548,,15394,,453765,,672845,,38.4623,-92.302,"(38.4623, -92.302)",593287,,79558,
RI,Rhode Island,8/1/2020,Y,P,N,1629,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1629,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2445,,177,,2622,,119180,,312213,,44.5672,-122.1269,"(44.5672, -122.1269)",282121,,30092,
LA,Louisiana,9/1/2013,Y,U,Y,,,,,,,,,,,,,,,1019787,,37.669,-84.6514,"(37.669, -84.6514)",,,,
AZ,Arizona,7/1/2019,Y,P,N,112109,,N/A,,112109,,,,,,,,,,1715655,,14.2417,-170.7197,"(14.2417, -170.7197)",1614557,,101098,
NY,New York,1/1/2018,Y,U,Y,,,773857,,773857,,132640,,9676,,142316,,2459121,,6151637,,34.8375,-106.2371,"(34.8375, -106.2371)",5619155,,532482,
OK,Oklahoma,9/1/2020,N,P,Y,36338,Includes Renewals and/or Redeterminations,N/A,,36338,Includes Renewals and/or Redeterminations,60616,Includes Renewals and/or Redeterminations,11162,Includes Renewals and/or Redeterminations,71778,Includes Renewals and/or Redeterminations,569766,,833734,,42.1497,-74.9384,"(42.1497, -74.9384)",704453,,129281,
SD,South Dakota,7/1/2019,N,U,Y,2847,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2847,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1606,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1606,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78414,,110329,,18.2766,-66.335,"(18.2766, -66.335)",94776,,15553,
DE,Delaware,11/1/2019,Y,P,N,4745,,N/A,,4745,,4428,,762,,5190,,105575,,230863,,38.8964,-77.0262,"(38.8964, -77.0262)",219303,,11560,
WI,Wisconsin,2/1/2019,N,U,Y,21945,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,21945,Does Not Include All Applications for Limited-Benefit Programs,16293,"Count is of Households, Not Individuals",1074,,17367,,505919,,1033735,,37.768,-78.2057,"(37.768, -78.2057)",962566,,71169,
NE,Nebraska,7/1/2019,N,P,N,6505,,N/A,,6505,,6818,,921,,7739,,160804,,241525,,35.6411,-79.8431,"(35.6411, -79.8431)",208260,,33265,
OR,Oregon,7/1/2018,Y,P,N,12152,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12152,Does Not Include All Non-MAGI Applications,21969,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2352,,24321,Does Not Include All Non-MAGI Determinations Made At Application,411129,,963773,,40.3736,-82.7755,"(40.3736, -82.7755)",839405,,124368,
IN,Indiana,3/1/2020,Y,P,N,76559,,N/A,,76559,,36570,,3858,,40428,,805290,,1500984,,40.3363,-89.0022,"(40.3363, -89.0022)",1386863,,114121,
AK,Alaska,12/1/2019,Y,P,N,3283,Includes Renewals and/or Redeterminations,N/A,,3283,Includes Renewals and/or Redeterminations,2925,Includes Renewals and/or Redeterminations; Includes CHIP,175,,3100,Includes Renewals and/or Redeterminations,97527,,222156,,61.385,-152.2683,"(61.385, -152.2683)",205527,,16629,
DE,Delaware,10/1/2018,Y,P,N,3243,,N/A,,3243,,5206,,860,,6066,,106313,,232137,,38.8964,-77.0262,"(38.8964, -77.0262)",220779,,11358,
MO,Missouri,8/1/2019,N,P,N,24087,Includes  Renewals and/or Redeterminations,N/A,,24087,Includes  Renewals and/or Redeterminations,12292,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",501,Includes Renewals and/or Redeterminations,12793,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",521052,,831826,,45.7326,-93.9196,"(45.7326, -93.9196)",796984,,34842,Does Not Include All CHIP enrollees
HI,Hawaii,5/1/2019,Y,P,N,4842,,N/A,,4842,,5631,,379,,6010,,140105,,329264,,32.9866,-83.6487,"(32.9866, -83.6487)",303847,,25417,
FL,Florida,3/1/2018,N,P,N,276810,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,276810,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,178193,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23669,,201862,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2528984,,3778635,,39.3498,-75.5148,"(39.3498, -75.5148)",3575187,,203448,
ND,North Dakota,1/1/2019,Y,U,Y,2187,,N/A,,2187,,2198,,64,,2262,,43113,,91060,,46.9048,-110.3261,"(46.9048, -110.3261)",88885,,2175,
UT,Utah,3/1/2019,N,U,Y,22417,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,22417,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",54319,Includes CHIP,,,54319,,193791,,287706,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,"(44.2853, -99.4632)",245886,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,41820,
FL,Florida,1/1/2020,N,U,Y,319373,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,319373,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,176679,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23653,,200332,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2412646,,3601113,,39.3498,-75.5148,"(39.3498, -75.5148)",3364100,,237013,
AR,Arkansas,5/1/2020,Y,U,Y,14754,,N/A,,14754,,10248,,573,,10821,,374951,,820544,,34.9513,-92.3809,"(34.9513, -92.3809)",786253,,34291,
WI,Wisconsin,1/1/2018,N,P,N,28010,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,28010,Does Not Include All Applications for Limited-Benefit Programs,23715,"Count is of Households, Not Individuals",1910,,25625,,488590,,1037795,,37.768,-78.2057,"(37.768, -78.2057)",970576,,67219,
MA,Massachusetts,7/1/2017,Y,U,Y,22441,,6227,,28668,,,,,,,,677640,,1627506,,31.1801,-91.8749,"(31.1801, -91.8749)",1454257,,173249,
NM,New Mexico,6/1/2018,Y,P,Y,11916,,N/A,,11916,,15773,,1711,,17484,,335140,Includes Limited-Benefit Enrollees,733526,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",696758,Includes Limited-Benefit Enrollees,36768,
AZ,Arizona,1/1/2020,Y,U,Y,106155,,N/A,,106155,,,,,,,,,,1702632,,14.2417,-170.7197,"(14.2417, -170.7197)",1605917,,96715,
IA,Iowa,5/1/2019,Y,U,Y,15061,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,15061,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1187,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1187,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,336469,,674047,,21.1098,-157.5311,"(21.1098, -157.5311)",600632,,73415,
VA,Virginia,5/1/2019,Y,U,Y,30783,Includes Renewals and/or Redeterminations,N/A,,30783,Includes Renewals and/or Redeterminations,23600,Includes Renewals and/or Redeterminations,724,Includes Renewals and/or Redeterminations,24324,Includes Renewals and/or Redeterminations,729050,,1314268,,35.7449,-86.7489,"(35.7449, -86.7489)",1170077,,144191,
WA,Washington,3/1/2020,Y,U,Y,95664,,84537,,180201,,114493,,1613,,116106,,827084,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1732597,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1658019,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),74578,
HI,Hawaii,11/1/2018,Y,U,Y,5020,,N/A,,5020,,6126,,585,,6711,,140749,,331712,,32.9866,-83.6487,"(32.9866, -83.6487)",306577,,25135,
ME,Maine,12/1/2017,Y,P,N,1254,,N/A,,1254,,9271,,384,,9655,,111272,,231725,,39.0724,-76.7902,"(39.0724, -76.7902)",221915,,9810,
MO,Missouri,3/1/2019,N,P,N,20913,,N/A,,20913,,10159,"Includes Renewals and/or Redeterminations; Count is of households, not individuals; Includes CHIP",559,Includes Renewals and/or Redeterminations,10718,"Includes Renewals and/or Redeterminations; Count is of households, not individuals",553863,,875069,,45.7326,-93.9196,"(45.7326, -93.9196)",842409,,32660,Does Not Include All CHIP enrollees
WV,West Virginia,9/1/2018,Y,P,N,20319,,N/A,,20319,,11109,,644,,11753,,220352,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),528115,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",494644,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33471,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
NM,New Mexico,4/1/2020,Y,P,N,14961,,N/A,,14961,,17410,,1150,,18560,,332532,Includes Limited-Benefit Enrollees,752736,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",715720,Includes Limited-Benefit Enrollees,37016,
MN,Minnesota,10/1/2018,Y,P,N,5016,,16989,,22005,,18117,,58,,18175,,530737,,1057893,,43.3504,-84.5603,"(43.3504, -84.5603)",1056759,,1134,
IL,Illinois,7/1/2017,Y,U,Y,67016,,N/A,,67016,,38361,,11994,,50355,,1431681,,3073670,,44.2394,-114.5103,"(44.2394, -114.5103)",2820285,,253385,
RI,Rhode Island,4/1/2019,Y,P,N,2108,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2108,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3303,,487,,3790,,120545,,302798,,44.5672,-122.1269,"(44.5672, -122.1269)",272055,,30743,
NM,New Mexico,7/1/2020,Y,U,Y,12220,,N/A,,12220,,12230,,1260,,13490,,339287,Includes Limited-Benefit Enrollees,780781,Includes Limited-Benefit Enrollees,43.4108,-71.5653,"(43.4108, -71.5653)",742165,Includes Limited-Benefit Enrollees,38616,
CO,Colorado,8/1/2020,Y,U,Y,19638,,107,,19745,,13720,,172,,13892,,596187,,1393772,,36.17,-119.7462,"(36.17, -119.7462)",1318174,,75598,
IL,Illinois,7/1/2019,Y,P,N,71132,,N/A,,71132,,30935,,10275,,41210,,1335362,,2799188,,44.2394,-114.5103,"(44.2394, -114.5103)",2533786,,265402,
AL,Alabama,7/1/2019,N,U,Y,13994,,N/A,,13994,,15219,,1966,,17185,,658658,,922278,,32.799,-86.8073,"(32.799, -86.8073)",748913,,173365,
ME,Maine,3/1/2018,Y,P,N,1366,,N/A,,1366,,10738,,449,,11187,,111151,,231278,,39.0724,-76.7902,"(39.0724, -76.7902)",221228,,10050,
NJ,New Jersey,10/1/2018,Y,U,Y,33792,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,33792,Does Not Include All Non-MAGI Applications,10517,Does Not Include All Non-MAGI Determinations Made At Application,4580,Does Not Include All CHIP Determinations Made At Application,15097,Does Not Include All Non-MAGI Determinations Made At Application; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,834724,,1753711,,41.1289,-98.2883,"(41.1289, -98.2883)",1540099,,213612,
GA,Georgia,5/1/2018,N,U,Y,47284,,N/A,,47284,,33297,,1179,,34476,,1278542,,1862562,,27.8333,-81.717,"(27.8333, -81.717)",1655637,,206925,
NH,New Hampshire,12/1/2019,Y,P,N,7078,,N/A,,7078,,5831,,881,,6712,,88277,,178310,,47.5362,-99.793,"(47.5362, -99.793)",162916,,15394,
PA,Pennsylvania,2/1/2020,Y,P,N,68376,Includes Renewals and/or Redeterminations,N/A,,68376,Includes Renewals and/or Redeterminations,61979,Includes Renewals and/or Redeterminations,10410,,72389,Includes Renewals and/or Redeterminations,1371952,,2904591,,35.5376,-96.9247,"(35.5376, -96.9247)",2718400,,186191,
LA,Louisiana,9/1/2018,Y,P,N,22666,,N/A,,22666,,29195,,2070,,31265,,728076,,1457989,,37.669,-84.6514,"(37.669, -84.6514)",1328341,,129648,
OK,Oklahoma,1/1/2018,N,P,Y,52353,,N/A,,52353,,45737,,8441,,54178,,517001,,739818,,42.1497,-74.9384,"(42.1497, -74.9384)",618365,,121453,
SD,South Dakota,11/1/2017,N,P,Y,3705,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,3705,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1585,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1585,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",80887,,112562,,18.2766,-66.335,"(18.2766, -66.335)",96317,,16245,
CO,Colorado,12/1/2017,Y,P,Y,31335,,12231,,43566,,24967,,371,,25338,,609309,,1382803,,36.17,-119.7462,"(36.17, -119.7462)",1309760,,73043,
MD,Maryland,7/1/2017,Y,P,N,6711,,85553,Includes Renewals and/or Redeterminations,92264,Includes Renewals and/or Redeterminations,25473,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",3790,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",29263,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",600852,,1290980,,42.2373,-71.5314,"(42.2373, -71.5314)",1146087,,144893,
WA,Washington,11/1/2019,Y,P,N,65577,,113845,,179422,,103686,,2282,,105968,,828492,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1722072,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1649523,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),72549,
NC,North Carolina,8/1/2019,N,U,Y,24002,,N/A,,24002,,35304,,3334,,38638,,1172301,,1737811,,32.7673,-89.6812,"(32.7673, -89.6812)",1469665,,268146,
AL,Alabama,10/1/2017,N,P,N,18913,,N/A,,18913,,28167,,4200,,32367,,625888,,883929,,32.799,-86.8073,"(32.799, -86.8073)",728299,,155630,
KY,Kentucky,8/1/2019,Y,U,Y,10148,,,,10148,,18239,,1816,,20055,,552970,,1308837,,38.5111,-96.8005,"(38.5111, -96.8005)",1218284,,90553,
AL,Alabama,8/1/2019,N,P,N,14285,,N/A,,14285,,15599,,2133,,17732,,649128,,916881,,32.799,-86.8073,"(32.799, -86.8073)",745862,,171019,
TX,Texas,1/1/2020,N,U,Y,155316,,N/A,,155316,,94783,,13157,,107940,,3297918,,4194734,,33.8191,-80.9066,"(33.8191, -80.9066)",3617110,,577624,
