State,Program Name,Program type,Statewide or region-specific?,Federal operating authority,Program start date ,Waiver expiration date (if applicable),"If the program ended in 2014, indicate the end date",Populations enrolled,Low-income Adults not eligible under ACA Section VIII,"Aged, Blind or Disabled Children or Adults",Non-Disabled Children (excluding children in foster care or receiving adoption assistance),Individuals receiving Limited Benefits,Low-income adults eligible under ACA Section VIII,Full Duals,Partial Duals,Children with Special Health Care Needs,Native American/Alaskan Natives,Foster Care and Adoption Assistance Children,Enrollment choice period,Enrollment broker name (if applicable),Notes on enrollment choice period,Benefits covered,Inpatient hospital physical health,Inpatient hospital behavioral health (MH and/or SUD),Outpatient hospital physical health,Outpatient hospital behavioral health (MH and/or SUD),Partial hospitalization,Physician,Nurse practitioner,Rural health clinics and FQHCs,Clinic services,Lab and x-ray,Prescription drugs and prosthetic devices,EPSDT,Case management,Health home (SSA 1945),Family planning,Dental services (medical/surgical),Dental (preventative or corrective),Home health agency services,Personal care (state plan option),HCBS waiver services,Private duty nursing,ICF-IDD,Nursing facility services,Hospice care,Non-Emergency Medical Transportation,"Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement,HEDIS data required?,CAHPS data required?,Accreditation required?,Accrediting organization,EQRO contractor name (if applicable),Performance incentives?,Payment bonuses/differentials to reward plans,Preferential auto-enrollment to reward plans,Public reports comparing MCO performance on key metrics,Withholds tied to performance metrics,MCOs/PHPs required/encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,Provider Value-Based Purchasing,State pays provider-based entities (such as ACOs or PCMHs) directly for value/quality outcomes using shared-risk or shared-savings methods,Participating plans and regions served,Plans in Program,Notes,Program notes,Year,Location
Idaho,Idaho Behavioral Health Plan,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b),09/01/2013,03/31/2022,,,,Mandatory,Mandatory,Mandatory,,Voluntary,Voluntary,,Mandatory,Mandatory,Mandatory,Voluntary,Voluntary,,,,,X,,X,X,,,,,X,X,,,,,,,X,,,,,,"Peer Support, Family Support, Community Transitions Services",,Yes,Yes,Yes,"NCQA, URAC",,,X,,X,X,X,,,,IBHP,,,2016,"Idaho
(44.389073, -114.659366)"
Texas,STAR,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),12/12/2011,09/30/2016,,,,,Mandatory,,,,,,,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,,,X,,,,,"Diagnostic services, podiatrist services, medical supplies, non-prescription drugs, eye glasses, preventive services, nurse midwife services, and pediatric or family nurse practitioner services.",,Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute of Child Health Policy,,,,X,,X,,,,"Blue Cross Blue Shield; Christus; Community First Health Plan; Community Health Choice; Cook Children's Health Plan; Driscoll Children's Health Plan; El Paso First; FirstCare; Molina Healthcare of Texas; Parkland HEALTH First; Scott & White; Sendero; Seton; Superior Health Plan; Texas Children's Health Plan; United Healthcare Texas; Aetna; Amerigroup Texas, Inc.",,STAR population also includes pregnant women.,2016,"Texas
(31.447238, -99.317341)"
Washington,NEMT Program,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/01/2008,,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,X,,,,,,,,Multiple Transportation Brokers,,,2016,"Washington
(47.411715, -120.592492)"
Missouri,Non-Emergency Medical Transportation Program (NEMT),Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,10/01/2006,,,,,Mandatory,Mandatory,,,Mandatory,,,Mandatory,Mandatory,,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Logisticare Solutions,,Partial duals are not enrolled in NEMT.  Full duals are and it is reflected in the counts for Logisticare.,2016,"Missouri
(38.3675, -92.477244)"
New York,Managed Long Term Care,MLTSS only (PIHP and/or PAHP),Statewide,1115(a) (Medicaid demonstration waivers),01/01/1998,03/31/2021,,,,,,,,Mandatory,,,,,,Mandatory,,,,,,,,,,,,,,,X,X,,,X,,X,X,,,,,X,,,No,No,No,,Island Peer Review Organization,,X,X,X,,,,,,Aetna Better Health; Agewell New York; Alphacare; Archcare Community Life; Centerlight Select; Centers Plan for Healthy Living; Elderplan; Elderserve; Elderwood; Extended MLTC; Fallon Health Weinberg; Fidelis Care at Home; Guildnet; Hamaspik Choice; Health Advantage/Elant Choice; Healthplus; HIP of Greater New York; Icircle Care; Independent Care Systems; Integra; Kalos Health Plan; Metroplus; Montefiore HMO; North Shore - LIJ Health Plan; Prime Health Choice; Senior Health Partners; Senior Network Health; Senior Whole Health; United Healthcare; Village Care; VNA Homecare Options; VNS Choice; Wellcare Advocate,,,2016,"New York
(42.921241, -75.59655)"
Louisiana,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,09/01/2007,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,,X,X,X,X,X,X,,X,X,,X,X,,X,X,X,,X,X,X,All specialized services authorized by the interdisciplinary team including podiatry.,,No,No,No,,,,,,,,,,,,PACE - Baton Rouge; PACE - Greater New Orleans; PACE - Lafayette,,,2016,"Louisiana
(30.921314, -91.840238)"
Rhode Island,Rhody Health Partners,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),04/01/2008,12/31/2018,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,,X,,X,,,X,,,,Yes,Yes,Yes,NCQA,IPRO,,X,,X,,,,,,Neighborhood Health Plan of RI; United Healthcare,,,2016,"Rhode Island
(41.572574, -71.534637)"
Georgia,Planning for Healthy Babies (P4HB),Other Prepaid Health Plan (PHP) (limited benefits),Statewide,1115(a) (Medicaid demonstration waivers),01/01/2011,12/31/2020,,,,,,Voluntary,,,,,,,Voluntary,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,Yes,Yes,No,,,,,,,,,,,,Amerigroup; Peach State Health Plan; WellCare of Georgia,,"P4HB consists of family planning, inter-pregnancy care and care management services. Inter-pregnancy care and care management services are limited to women who have given birth to a very low birthweight (VLBW) baby. Women who do not receive Medicaid benefits and have given birth to a VLBW baby are only eligible for care management services. Women ages 18 through 44 who qualify under the Low Income Medicaid Class of Assistance under the Georgia Medicaid State Plan are enrolled into one of the CMOs per the Medicaid state plan.  Women ages 18 through 44 who qualify under the Aged, Blind and Disabled classes of assistance under the Georgia Medicaid State Plan and who deliver a VLBW baby on or after January 1, 2011, will receive care management services through a CMO of their choice.",2016,"Georgia
(32.638481, -83.426574)"
Ohio,Medicaid Managed Care,Comprehensive MCO,Statewide,"1915(b),1932(a)",07/01/2005,06/30/2017,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,X,X,X,,X,X,X,X,X,X,X,,X,X,X,X,,,,X,,X,X,X,"Immunizations, podiatry, nurse midwife services, freestanding birth centers, care management, OME and medical supplies, vision, physical therapy, speech therapy, occupational therapy, developmental therapy, chiropractic, certified family nurse practitioner, certified pediatric nurse practitioner, ambulance, ambulette, respite services for eligible children receiving Supplemental Security Income (SSI)",,Yes,Yes,Yes,NCQA,Health Services Advisory Group,,X,X,X,,,,,,Buckeye Health Plan; CareSource; Molina Healthcare of Ohio; Paramount Advantage; United Healthcare Community Plan of Ohio,,Children with special health care needs (SSI population ONLY) are enrolled mandatorily; children with special needs (BCMH population) are enrolled voluntarily.                                                                                                                                                                                                                                                            The program originally operated under 1932a authority but then implemented 1915(b) in 2013 to cover the SSI child population.,2016,"Ohio
(40.415534, -82.70936)"
Massachusetts,MassHealth Managed Care,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),07/07/1998,06/30/2019,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,"Acupuncture, audiology, breast pump, chiropractic, diabetes self-management training, dialysis, DME, early intervention, emergency services, fluoride varnish, hearing aids, infertility diagnosis, dentures, medical nutrition therapy, orthotics, podiatry, radiology and diagnostic tests, tobacco cessation, vision care, speech therapy, occupational therapy, physical therapy,  SNF, chronic or rehab (Note: this list is not fully inclusive)",,Yes,Yes,Yes,NCQA,KEPRO,,,,,,,,,,Health New England; Neighborhood Health Plan; Fallon Community Health Plan; Tufts Health Plan; Celticare; Boston Medical Center Health Net Plan,,,2016,"Massachusetts
(42.151077, -71.481104)"
Ohio,Ohio PACE,Program of All-inclusive Care for the Elderly (PACE),Cuyahoga County,PACE,11/01/2002,,,,,,,,,Voluntary,Voluntary,,,,,Voluntary,Voluntary,,X,X,,X,,X,X,,,X,,,,X,,X,X,,,X,X,,,X,X,,,No,No,No,,,,,,,,,,,,McGregor PACE,,"Low-income adults not covered under ACA Section VIII, Low-income adults covered under ACA Section VIII, Individuals receiving limited benefits, Full duals, and Partial duals can all be voluntarily enrolled in PACE if the meet the following requirements: 1) 55 years of age; 2)Reside in a PACE service area; 3) Have a level of care that would be provided in a nursing facility",2016,"Ohio
(40.415534, -82.70936)"
New Jersey,NJ FamilyCare,Comprehensive MCO + MLTSS,Statewide,"1115(a) (Medicaid demonstration waivers),1937 Alt Benefit Plan",09/01/1995,06/30/2017,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,"Assistive technology, audiology, chrirpractic, DME, Hearing aid, immunication, MDC, Medical supplies, optical appliances, optometrist, organ transplants, orthotics, rehabilitation/specialty hospital, outpatient rehabilitation, non-routine podiatrist, post-acute care, preventive health, specialty hospital, vision",,Yes,Yes,No,,Island Peer Review Organization,,X,,,,,,,,WellCare Liberty D-SNP; Aetna Better Health NJ; Amerigroup New Jersey; Amerivantage Dual Coordination; Horizon NJ Health; UnitedHealthcare Community Plan; UnitedHealthcare Dual Complete ONE; WellCare of New Jersey,,"1.  On July 1, 2016 an MLTSS Nursing Facility Transition incentive was initiated that paid a bonus to the MCO for each MLTSS beneficiary that they transitioned from a Nursing Facility to a community living arrangement.  NCQA Commendable Accreditation (or higher) will become a requirement for MCOs that have been NJ FamilyCare MCOs starting with the state fiscal year after they have been an NJ FamilyCare Contractor for at least 36 months.  2.  New Jersey implemented a Physician Rate Increase to increase reimbursement rates for certain primary and specialty care services in NJ FamilyCare to encourage new and continued provider participation in the NJ FamilyCare program and ensure recipients have adequate access to physician services.  The managed care plans were directed to distribute this money using value-based purchasing.",2016,"New Jersey
(40.110253, -74.655514)"
Alabama,PACE,Program of All-inclusive Care for the Elderly (PACE),Mobile and Baldwin Counties,PACE,10/01/2011,12/31/2299,.,.,.,.,.,.,.,Voluntary,Voluntary,.,Voluntary,Exempt,N/A,.,Enrollees are approved a month prior to the enrollment date. Enrollees may disenroll at any point.,.,X,X,X,X,X,X,X,.,X,X,X,.,X,.,.,X,.,X,X,.,.,.,X,X,X,Any services deemed medically necessary by the IDT Team.,.,No,No,No,.,.,.,.,.,.,.,.,.,.,.,Mercy Life of Alabama (MLOA),.,.,2014,"Alabama
(32.756889, -86.844516)"
Maryland,HealthChoice,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),06/02/1997,12/31/2021,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,,X,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,"Nurse midwife, freestanding birthing centers, podiatry (routine foot care under 21 and diabetics).",,Yes,Yes,Yes,NCQA,Delmarva,,X,,X,,,,,,Amerigroup Community Care; Jai Medical Systems; Kaiser Permanente; Maryland Physicians Care; MedStar Family Choice; Priority Partners; Riverside Health of Maryland; United HealthCare,,,2016,"Maryland
(38.946466, -76.687282)"
Arkansas,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,07/01/2014,.,.,.,.,Voluntary,.,.,.,.,.,.,Exempt,Exempt,N/A,.,N/A,.,X,X,X,X,.,X,X,X,X,X,X,.,X,.,.,X,.,X,X,.,.,.,X,.,X,.,.,No,No,No,.,.,.,.,.,.,.,.,.,.,.,PACE,.,State certifies PACE sites.,2014,"Arkansas
(34.899825, -92.439162)"
New Jersey,Non-Emergency Medical Transporation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,07/01/2009,,,,Mandatory,Mandatory,Mandatory,,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,Logisticare,,,2016,"New Jersey
(40.110253, -74.655514)"
New Mexico,Centennial Care,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/2014,12/31/2018,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,"Ambulatory, Surgical, Anesthesia, Diagnostic Imaging, Imaging and Therapeutic Radiology services, Dialysis, Durable Medical Equipment and Medical Supplies, Hearing and Audiology, Immunization, Medical Service Providers, Midwife, Nutritional, Occupational Therapy, Physical Therapy, Podiatry, Pregnancy Termination (Sate Funded), Prosthetics and Orthotics, Rehabilitation, Reproductive Health, School Based, Speech Therapy, Telehealth, Transplant, Transportation, Vision, Pediatricians",,Yes,Yes,Yes,NCQA,HealthInsight,,,X,X,X,X,,,,Blue Cross Blue Shield of NM; Presbyterian Health Plan; UnitedHealthcare Community Plan; Molina Healthcare of New Mexico Inc,,Native American/Alaskan Native Enrollment would be manditorily enrolled if receiving LTSS.,2016,"New Mexico
(34.421369, -106.108388)"
Minnesota,Special Needs Basic Care (SNBC),Comprehensive MCO + MLTSS,Statewide,1915(a),01/01/2008,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,,X,,X,,,Yes,Yes,No,,Michigan Peer Review Organization,,,X,,X,,,,,Health Partners; Medica; PrimeWest Health; South Country Health; Ucare,,,2016,"Minnesota
(46.349153, -94.198308)"
California,Positive Healthcare/Los Angeles,Other Prepaid Health Plan (PHP) (limited benefits),Los Angeles,1937 Alt Benefit Plan,04/01/2002,,,,Voluntary,,Voluntary,,,,,Voluntary,,Voluntary,,,,,,,X,,,X,X,X,X,X,X,X,X,,X,,,,,,,,,X,X,,,Yes,Yes,No,,,,,,,,,,,,Multiple Primary Care Providers,,,2016,"California
(37.211164, -119.662127)"
California,Regional Model,Comprehensive MCO,"Alpine, Amador, Butte, Calaveras, Colusa, El Dorado, Glenn, Imperial, Inyo, Mariposa, Mono, Nevada, Placer, Plumas, San Benito, Sierra, Sutter, Tehama, Tuolumne, Yuba",1115(a) (Medicaid demonstration waivers),10/01/2013,12/31/2020,,,Mandatory,Mandatory,Mandatory,,,Voluntary,,Mandatory,Mandatory,Mandatory,,Voluntary,,,X,,X,X,,X,X,X,X,X,X,X,X,,X,,,,,,,,,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,,X,X,,,,,,"Anthem Blue Cross Partnership Plan (Alpine, Amador, Butte, Calaveras, Colusa, El Dorado, Glenn, Inyo, Mariposa, Mono, Nevada, Placer, Plumas ,San Benito, Sierra, Sutter, Tehama, Tuolumne, Yuba); California Health & Wellness (Alpine, Amador, Butte, Calaveras, Colusa, El Dorado, Glenn, Imperial, Inyo, Mariposa, Mono, Nevada, Placer, Sierra, Sutter, Tehama, Tuolumne, Yuba); Kaiser (Amador, El Dorado, Placer); Molina Healthcare (Imperial)",,,2016,"California
(37.211164, -119.662127)"
Michigan,Healthy Kids Dental,Dental only (PAHP),Statewide,1915(b),04/01/2009,12/31/2019,,,,Mandatory,Mandatory,,,,,,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,No,No,No,,,,,,,,,,,,Healthy Kids Dental,,MDHHS contracts for the administration of the Medicaid dental benefit called Healthy Kids Dental in 80 counties and 3 expansion counties.  The contractor administers the Medicaid dental benefit to all Medicaid beneficiaries under age 21 in the participating counties.  The dental services provided through the contractor mimic the dental services provided through the FFS Medicaid program.  Medicaid beneficiaries have access to dentists through the contractor's participating dental networks.  Beneficiaries must see a dentist who participates with the Healthy Kids Dental contract.,2016,"Michigan
(44.874798, -85.730977)"
Tennessee,TennCare II,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),07/01/2002,06/30/2021,,,,Mandatory,Mandatory,,,Mandatory,,,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,,X,X,X,"TennCare covers freestanding birth centers, podiatrists' services, and other services as indicated in Tennessee's approved Medicaid State Plan (where limitations imposed on each service are identified).",,Yes,Yes,Yes,NCQA,Qsource,,X,,X,X,X,,,,Amerigroup; DentaQuest USA Insurance Company; Magellan Health Services; UnitedHealthcare Community Plan; Volunteer State Health Plan (BlueCare); Volunteer State Health Plan (TennCare Select),,"(1)TennCare covers services only when they are determined to be medically necessary.  (2) As of July 1, 2016, MCOs were encouraged to include rural health clinics and FQHCs in their provider networks; MCOs that did not include these providers had to demonstrate that appropriate services were available in relevant coverage areas.  (This arrangement was modified as part of the TennCare II Demonstration extension approved on December 16, 2016.)  (3) On October 12, 2016, TennCare requested authorization for a health home program that would begin on January 1, 2017.  (4) Dental services are available to enrollees under age 21 as part of EPSDT; those age 21 and older are not entitled to dental services except under  EMTALA.  (5) HCBS waiver services and nursing facility services are available through TennCare CHOICES.  (6) The ICF-IDD services are reimbursed outside the TennCare II Demonstration. (7) TennCare does not cover any individuals receiving limited benefits, including partial duals.  (8) Tennessee does not have any federally recognized Indian tribes.  (10) Each member is enrolled in one Managed Care Entity (MCE) for physical health services, behavioral health services, and long-term services and supports.  Adults (excluding PACE members) and children are also enrolled in a second MCE for pharmacy benefits.  Children are enrolled in a third MCE for dental benefits.",2016,"Tennessee
(35.842998, -86.343226)"
Illinois,Illinois Health Connect (IHC) Primary Care Case Management (PCCM),Primary Care Case Management (PCCM),"Jo Daviess, Stephenson, Carroll, Ogle, DeKalb, Whiteside, Lee, Kendall, Grundy, LaSalle, Putnam, Bureau, Marshall, Livingston, Woodford, Iroquois, Warren, Henderson, Hancock, McDonough, Fulton, Schuyler, Mason, Cass, Brown, Adams, Pike, Scott, Morgan, Calhoun, Greene, Jersey, Macoupin, Montgomery, Bond, Fayette, Shelby, Moultrie, Douglas, Edgar, Coles, Clark, Cumberland, Crawford, Jasper, Effingham, Marion, Clay, Richland, Lawrence, Wabash, Edwards, Wayne, Jefferson, Washington, Monroe, Randolph, Perry, Franklin, Hamilton, White, Gallatin, Saline, Williamson, Jackson, Union, Johnson, Pope, Hardin, Alexander, Pulaski and Massac counties",1932(a),07/01/2006,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,Yes,Yes,No,,,,X,,,,,,,,Illinois Health Connect,,"Providers that render services to IHC members bill the state in accordance with state Fee-For-Service reimbursement policies. As such, clients receive the same fee-for-service covered benefits in PCCM as they do in regular fee-for-service.",2016,"Illinois
(40.124144, -89.148632)"
Wisconsin,WrapAround Milwaukee,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),County: Milwaukee,1915(a),03/01/1997,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,"MetaStar, Inc.",,,,,,,,,,WrapAround Milwaukee,,,2016,"Wisconsin
(44.639954, -89.732969)"
Alabama,Maternity Program,Other Prepaid Health Plan (PHP) (limited benefits),"Statewide minus the following counties: Autuaga, Butler, Bullock, Crenshaw, Elmore, Lowdnes, Montgomery, Pike",1915(b),09/01/1988,08/31/2017,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,X,,,X,X,,,X,,X,,,,,,,,,,,Freestanding birth centers,,No,No,No,,,,,,,,,,,,Maternity Program,,This is only a maternity care program. It is a PAHP only program.,2016,"Alabama
(32.756889, -86.844516)"
Pennsylvania,Adult Community Autism Program,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),"Cumberland, Dauphin, Chester and Lancaster Counties",1915(a),06/01/2009,,,,,,,,,Voluntary,,,,,,Voluntary,,,,,,,,X,X,,,,,,X,,X,X,X,,X,X,,X,X,X,X,"Physical, occupational, vision and mobility and speech therapies (group & individual).  Prevocational, health promotion and disease prevention services.  Prosthetic eyes and other eye appliances.",,No,No,No,,Island Peer Review Organization (IPRO),,,,,,,,,,Adult Community Autism Program,,,2016,"Pennsylvania
(40.896694, -77.838886)"
Texas,STAR+PLUS,Comprehensive MCO + MLTSS,Statewide,"1115(a) (Medicaid demonstration waivers),1915(b)/1915(c),1915(a)/1915(i)",12/12/2011,09/30/2016,,,,Varies,,,,Mandatory,,,Varies,,,Mandatory,,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,"Diagnostic services, podiatrist services, medical supplies, non-prescription drugs, eye glasses, preventive services, nurse midwife services, and pediatric or family nurse practitioner services.",,Yes,Yes,"No, but accreditation considered in plan selection criteria","NCQA, URAC",Institute for Child Health Policy,,,,X,,X,,,,Amerigroup; Cigna-HealthSpring; Molina; Superior Health Plan; United Healthcare Texas,,"For the Aged, Blind, or Disabled Children and Adults population enrollment, only children are voluntary and adults are mandatory.",2016,"Texas
(31.447238, -99.317341)"
California,Two-Plan Model,Comprehensive MCO + MLTSS,"Alameda, Contra Costa, Fresno, Kern, Kings, Los Angeles, Madera, Riverside, San Bernardino, San Francisco, San Joaquin, Santa Clara, Stanislaus, Tulare",1115(a) (Medicaid demonstration waivers),01/01/1996,12/31/2020,,,Mandatory,Mandatory,Mandatory,,,Varies,,Mandatory,Mandatory,Mandatory,,Varies,,,X,,X,,,X,X,X,X,X,X,X,X,,X,,,,X,X,X,X,X,X,X,,,Yes,Yes,No,,Health Services Advisory Group,,,X,X,,,,,,"CalViva Health (Fresno, Kings, Madera); Anthem Blue Cross Partnership Plan (Alameda, San Francisco, Contra Costa, Fresno, Kings, Madera, Santa Clara, Tulare); Health Net (Kern, Los Angeles, Tulare, San Joaquin, Stanislaus); Molina Healthcare (Riverside, San Bernardino); Alameda Alliance for Health; Contra Costa Health Plan; Kern Health Systems; LA Care; Inland Empire Health Plan (Riverside, San Bernardino); San Francisco Health Plan; Health Plan of San Joaquin (San Joaquin, Stanislaus); Santa Clara Family Health Plan",,"Full duals are mandatory for managed care enrollment in Coordinated Care Initiative (CCI) Counties (Los Angeles, Riverside, San Bernardino and Santa Clara) and voluntary for all other Counties (Alameda, Contra Costa, Fresno, Kern, Kings, Madera, San Francisco, San Joaquin, Stanislaus and Tulare).",2016,"California
(37.211164, -119.662127)"
Massachusetts,Program of All-Inclusive Care for the Elderly (PACE),Program of All-inclusive Care for the Elderly (PACE),"Counties of Essex, Hampden, Hampshire, Middlesex, Norfolk, Suffolk and Worcester",PACE,07/01/1990,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,,X,X,X,,X,X,X,"The PACE Program covers all medically necessary services for the enrolled population, including but not limited to all covered Medicare and Medicaid services.",,Yes,No,No,,,,,,,,,,,,"Neighborhood PACE; Upham's Elder Services Plan; Elder Service Plan of Harbor Health Services; Fallon Health Summit ElderCare; Elder Service Plan of Cambridge Health Alliance; Element Care, Inc.; Serenity Care Pace Program; Mercy Life Inc.",,,2016,"Massachusetts
(42.151077, -71.481104)"
South Carolina,Non-Emergency Medical Transportation,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,05/01/2007,,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,Yes,No,,,,X,,X,,,,,,Logisticare,,,2016,"South Carolina
(33.878572, -80.864614)"
Arizona,Arizona Health Care Cost Containment System,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),07/13/1982,9/30/2016,.,.,Varies,Varies,Varies,Voluntary,Varies,Varies,Varies,Varies,Voluntary,Mandatory,Other,.,"If an individual does not choose their plan prior to eligibility being determined, they are auto-enrolled in a health plan and given 30 days to choose a different plan.  Native Americans/Alaskan Natives who do not choose are assigned to a FFS plan and can choose to enroll in an MCO at any time.",.,X,X,X,X,.,X,X,X,.,X,X,X,X,.,X,X,X,X,X,X,X,X,X,X,X,.,.,Yes,Yes,No,Please note that HEDIS and CAHPS are run by the EQRO not the MCO's,Health Services Advisory Group (HSAG),.,X,X,X,X,X,.,.,.,Mercy Maricopa Integrated Care; Care 1st; Health Choice Arizona; Health Net Access; Maricopa Health Plan; Mercy Care Plan; Phoenix Health Plan; UnitedHealthcare Plan; University Family Care; Comprehensive Medical and Dental Program; Division of Developmental Disabilities MLTSS; Bridgeway Health Solutions MLTSS; United Healthcare MLTSS; Mercy Care MLTSS,.,.,2014,"Arizona
(34.293239, -111.664616)"
Wisconsin,Family Care,MLTSS only (PIHP and/or PAHP),"Counties: Ashland, Barron, Bayfield, Brown, Buffalo, Burnett, Calumet, Chippewa, Clark, Columbia, Crawford, Dodge, Door, Douglas, Dunn, Eau Claire, Fond du Lac, Grant, Green, Green Lake, Iowa, Iron, Jackson, Jefferson, Juneau, Kenosha, Kewaunee, La Crosse, Lafayette, Lincoln, Langlade, Manitowoc, Marathon, Marinette, Marquette, Menominee, Milwaukee, Monroe, Oconto, Outagamie, Ozaukee, Pepin, Pierce, Polk, Portage, Price, Racine, Richland, Rock, Rusk, St. Croix, Sauk, Sawyer, Shawano, Sheboygan, Trempealeau, Vernon, Walworth, Washburn, Washington, Waukesha, Waupaca, Waushara, Winnebago, Wood",1915(b)/1915(c),02/01/2000,12/31/2019,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,,,,X,X,,X,,,,,,X,X,,,,,X,X,X,X,X,,X,Community mental health services; durable medical equipment and medical supplies;  occupational therapy; physical therapy; respiratory care for ventilator dependent persons;speech & language pathology,,No,No,No,,"MetaStar, Inc.",,,,,,,,,,"Community Care, Inc. (FC); Community Care Connections of Wisconsin (FC); Care Wisconsin (FC); Lakeland Care District; My Choice Family Care; ContinuUs; Western Wisconsin Cares",,,2016,"Wisconsin
(44.639954, -89.732969)"
Idaho,Healthy Connections,Primary Care Case Management (PCCM),Statewide,1932(a),10/01/2006,,,,,Voluntary,Mandatory,Voluntary,,Voluntary,Voluntary,,Voluntary,Mandatory,Voluntary,Voluntary,Voluntary,,,,,,,,,,,,,,X,,,,,,,,,,,,,Primary Care Case Management,,No,No,"No, but accreditation considered in plan selection criteria",,,,,,,,,,,,Multiple primary care providers,,,2016,"Idaho
(44.389073, -114.659366)"
Texas,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,06/01/2001,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,X,X,X,X,X,X,X,,X,,,X,X,,X,X,X,,X,X,X,,,No,No,No,,,,,,,,,,,,Bienvivir Senior Health Services (El Paso); Silver Star Health Network (Lubbock); The Basics at Jan Werner (Amarillo),,,2016,"Texas
(31.447238, -99.317341)"
